"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","C_AGE","C_AGE_NAME","C_AGE_CODE","C_AGE_TYPE","C_AGE_TYPECODE","C_AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"1","Age 0 - 4","1","5 year age band",2000,1,"20100","Value",259342,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d1d20100",313,560
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"6","Aged 20-24","6","5 year age band",2000,2,"20100","Value",336568,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d6d20100",314,560
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"7","Aged 25-29","7","5 year age band",2000,3,"20100","Value",346483,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d7d20100",315,560
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"8","Aged 30-34","8","5 year age band",2000,4,"20100","Value",350057,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d8d20100",316,560
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"9","Aged 35-39","9","5 year age band",2000,5,"20100","Value",344445,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d9d20100",317,560
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"10","Aged 40-44","10","5 year age band",2000,6,"20100","Value",321095,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d10d20100",318,560
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"11","Aged 45-49","11","5 year age band",2000,7,"20100","Value",351748,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d11d20100",319,560
"2020","2020","2020","date",0,5,"2092957702","Northern Ireland","N92000002","countries",499,5,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",1900523,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957702d0d200d20100",320,560
"2020","2020","2020","date",0,5,"2092957702","Northern Ireland","N92000002","countries",499,5,"0","Total","0","Sex",1000,0,"1","Age 0 - 4","1","5 year age band",2000,1,"20100","Value",116140,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957702d0d1d20100",321,560
"2020","2020","2020","date",0,5,"2092957702","Northern Ireland","N92000002","countries",499,5,"0","Total","0","Sex",1000,0,"6","Aged 20-24","6","5 year age band",2000,2,"20100","Value",112973,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957702d0d6d20100",322,560
"2020","2020","2020","date",0,5,"2092957702","Northern Ireland","N92000002","countries",499,5,"0","Total","0","Sex",1000,0,"7","Aged 25-29","7","5 year age band",2000,3,"20100","Value",117550,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957702d0d7d20100",323,560
